berdo_id,campus_id,in_summary_list,in_member_field,building_record_present
100113,C10059,True,True,True
100308,C10002,True,True,True
100379,C10055,True,True,True
100381,C10055,True,True,True
100382,C10004,True,True,True
100383,C10004,True,True,True
100395,C10115,True,True,True
100396,C10115,True,True,True
100717,C10075,True,True,True
100742,C10063,True,True,True
100743,C10063,True,True,True
100744,C10063,True,True,True
100745,C10063,True,True,True
100746,C10063,True,True,True
100747,C10063,True,True,True
100748,C10063,True,True,True
100749,C10063,True,True,True
100750,C10063,True,True,True
100751,C10063,True,True,True
100753,C10063,True,True,True
100756,C10063,True,True,True
100768,C10096,True,True,True
101203,C10008,True,True,True
101204,C10008,True,True,True
101236,C10097,True,True,True
101237,C10097,True,True,True
101238,C10097,True,True,True
101239,C10097,True,True,True
101240,C10097,True,True,True
101241,C10097,True,True,True
101243,C10111,True,True,True
101244,C10097,True,True,True
101266,C10111,True,True,True
101268,C10111,True,True,True
101270,C10097,True,True,True
101271,C10097,True,True,True
101287,C10111,True,True,True
101288,C10097,True,True,True
101289,C10097,True,True,True
101324,C10073,True,True,True
101325,C10073,True,True,True
101326,C10073,True,True,True
101691,C10108,True,True,True
101692,C10108,True,True,True
101712,C10061,True,True,True
101714,C10061,True,True,True
101728,C10100,True,True,True
101753,C10010,True,True,True
101754,C10010,True,True,True
101822,C10011,True,True,True
101833,C10012,True,True,True
101835,C10013,True,True,True
101881,C10014,True,True,True
101885,C10013,True,True,True
101894,C10015,True,True,True
101938,C10016,True,True,True
101939,C10016,True,True,True
101960,C10017,True,True,True
102017,C10018,True,True,True
102018,C10018,True,True,True
102026,C10102,True,True,True
102029,C10102,True,True,True
102033,C10102,True,True,True
102034,C10102,True,True,True
102035,C10102,True,True,True
102058,C10102,True,True,True
102059,C10102,True,True,True
102060,C10102,True,True,True
102071,C10019,True,True,True
102090,C10056,True,True,True
102162,C10020,True,True,True
102163,C10020,True,True,True
102166,C10020,True,True,True
102359,C10103,True,True,True
102580,C10021,True,True,True
102581,C10021,True,True,True
102582,C10021,True,True,True
102612,C10010,True,True,True
102615,C10010,True,True,True
102616,C10010,True,True,True
102617,C10010,True,True,True
102826,C10070,True,True,True
102830,C10070,True,True,True
102843,C10025,True,True,True
102844,C10025,True,True,True
102850,C10062,True,True,True
102851,C10062,True,True,True
102963,C10027,True,True,True
102964,C10027,True,True,True
102974,C10002,True,True,True
103170,C10112,True,True,True
103171,C10112,True,True,True
103178,C10028,True,True,True
103191,C10028,True,True,True
103194,C10028,True,True,True
103195,C10028,True,True,True
103311,C10029,True,True,True
103312,C10029,True,True,True
103380,C10076,True,True,True
103468,C10053,True,True,True
103469,C10053,True,True,True
103533,C10109,True,True,True
103534,C10109,True,True,True
103535,C10109,True,True,True
103536,C10109,True,True,True
103538,C10109,True,True,True
103539,C10109,True,True,True
103540,C10109,True,True,True
103541,C10109,True,True,True
103542,C10109,True,True,True
103543,C10109,True,True,True
103545,C10109,True,True,True
103546,C10109,True,True,True
103547,C10109,True,True,True
103548,C10109,True,True,True
103549,C10109,True,True,True
103550,C10109,True,True,True
103551,C10109,True,True,True
103552,C10109,True,True,True
103553,C10109,True,True,True
103554,C10109,True,True,True
103555,C10109,True,True,True
103556,C10109,True,True,True
103557,C10109,True,True,True
103558,C10109,True,True,True
103559,C10109,True,True,True
103560,C10109,True,True,True
103561,C10109,True,True,True
103562,C10109,True,True,True
103563,C10109,True,True,True
103564,C10109,True,True,True
103565,C10109,True,True,True
103566,C10109,True,True,True
103603,C10082,True,True,True
103604,C10082,True,True,True
103814,C10105,True,True,True
103900,C10030,True,True,True
103901,C10030,True,True,True
103950,C10031,True,True,True
103951,C10031,True,True,True
103988,C10101,True,True,True
103989,C10101,True,True,True
104010,C10077,True,True,True
104015,C10077,True,True,True
104017,C10114,True,True,True
104018,C10114,True,True,True
104019,C10114,True,True,True
104087,C10086,True,True,True
104089,C10106,True,True,True
104245,C10032,True,True,True
104246,C10032,True,True,True
104247,C10032,True,True,True
104248,C10032,True,True,True
104249,C10032,True,True,True
104250,C10032,True,True,True
104251,C10032,True,True,True
104252,C10032,True,True,True
104328,C10045,True,True,True
104344,C10113,True,True,True
104345,C10113,True,True,True
104351,C10110,True,True,True
104352,C10110,True,True,True
104353,C10110,True,True,True
104354,C10110,True,True,True
104521,C10059,True,True,True
104610,C10105,True,True,True
104702,C10059,True,True,True
104703,C10059,True,True,True
104704,C10059,True,True,True
104705,C10059,True,True,True
104706,C10059,True,True,True
104707,C10059,True,True,True
104708,C10059,True,True,True
104709,C10059,True,True,True
104710,C10059,True,True,True
104711,C10059,True,True,True
104712,C10059,True,True,True
104713,C10059,True,True,True
104714,C10059,True,True,True
104715,C10059,True,True,True
104716,C10059,True,False,False
104717,C10059,True,True,True
104718,C10059,True,True,True
104719,C10059,True,True,True
104720,C10059,True,True,True
104721,C10059,True,True,True
104722,C10059,True,True,True
104723,C10059,True,True,True
104724,C10059,True,True,True
104725,C10059,True,True,True
104726,C10059,True,True,True
104728,C10059,True,True,True
104729,C10059,True,True,True
104730,C10059,True,True,True
104731,C10059,True,True,True
104732,C10059,True,True,True
104733,C10059,True,True,True
104735,C10059,True,True,True
104736,C10059,True,True,True
104737,C10059,True,True,True
104738,C10059,True,True,True
104740,C10059,True,True,True
104741,C10059,True,True,True
104743,C10059,True,True,True
104744,C10059,True,True,True
104745,C10059,True,True,True
104746,C10059,True,True,True
104747,C10059,True,True,True
104748,C10059,True,True,True
104749,C10059,True,True,True
104750,C10059,True,True,True
104751,C10059,True,True,True
104752,C10059,True,True,True
104753,C10059,True,True,True
104754,C10059,True,True,True
104755,C10059,True,True,True
104756,C10059,True,True,True
104757,C10059,True,True,True
104758,C10059,True,True,True
104759,C10059,True,True,True
104760,C10059,True,True,True
104761,C10059,True,True,True
104762,C10059,True,True,True
104767,C10059,True,True,True
104768,C10059,True,True,True
104770,C10059,True,True,True
104771,C10059,True,True,True
104774,C10059,True,True,True
104775,C10059,True,True,True
104776,C10059,True,True,True
105083,C10033,True,True,True
105084,C10033,True,True,True
105168,C10059,True,True,True
105221,C10084,True,True,True
105222,C10084,True,True,True
105717,C10060,True,True,True
105722,C10060,True,True,True
105727,C10060,True,True,True
105733,C10060,True,True,True
105739,C10060,True,True,True
105742,C10060,True,True,True
105747,C10060,True,True,True
105766,C10104,True,True,True
105767,C10104,True,True,True
105779,C10064,True,True,True
105780,C10064,True,True,True
105781,C10064,True,True,True
105782,C10064,True,True,True
105783,C10064,True,True,True
105784,C10043,True,True,True
105785,C10043,True,True,True
105786,C10043,True,True,True
105787,C10043,True,True,True
105788,C10043,True,True,True
105790,C10043,True,True,True
105791,C10043,True,True,True
105792,C10043,True,True,True
105793,C10043,True,True,True
105794,C10043,True,True,True
105795,C10043,True,True,True
105796,C10043,True,True,True
105952,C10037,True,True,True
105953,C10037,True,True,True
105954,C10037,True,True,True
105970,C10078,True,True,True
105971,C10078,True,True,True
105972,C10078,True,True,True
105973,C10078,True,True,True
105974,C10078,True,True,True
106000,C10038,True,True,True
106001,C10038,True,True,True
106023,C10099,True,True,True
106024,C10099,True,True,True
106025,C10099,True,True,True
106026,C10099,True,True,True
106027,C10099,True,True,True
106028,C10099,True,True,True
106090,C10066,True,True,True
106099,C10028,True,True,True
106217,C10093,True,True,True
106218,C10093,True,True,True
106219,C10093,True,True,True
106289,C10063,True,True,True
106290,C10063,True,True,True
106291,C10063,True,True,True
106292,C10063,True,True,True
106293,C10063,True,True,True
106294,C10063,True,True,True
106295,C10063,True,True,True
106296,C10063,True,True,True
106297,C10063,True,True,True
106298,C10063,True,True,True
106299,C10063,True,True,True
106300,C10063,True,True,True
106301,C10063,True,True,True
106324,C10071,True,True,True
106325,C10071,True,True,True
106342,C10105,True,True,True
106349,C10095,True,True,True
106350,C10095,True,True,True
106661,C10040,True,True,True
106662,C10040,True,True,True
106706,C10041,True,True,True
106707,C10041,True,True,True
106708,C10041,True,True,True
106709,C10041,True,True,True
106711,C10041,True,True,True
106715,C10042,True,True,True
106824,C10044,True,True,True
106825,C10044,True,True,True
106835,C10100,True,True,True
106851,C10045,True,True,True
106852,C10045,True,True,True
106884,C10046,True,True,True
106955,C10057,True,True,True
106976,C10015,True,True,True
107000,C10019,True,True,True
107001,C10019,True,True,True
107007,C10017,True,True,True
107009,C10011,True,True,True
107013,C10020,True,True,True
107014,C10020,True,True,True
107019,C10047,True,True,True
107020,C10047,True,True,True
107021,C10058,True,True,True
107022,C10058,True,True,True
107023,C10058,True,True,True
107026,C10016,True,True,True
107038,C10015,True,True,True
107050,C10063,True,True,True
107052,C10063,True,True,True
107053,C10063,True,True,True
107054,C10063,True,True,True
107055,C10063,True,True,True
107062,C10063,True,True,True
107082,C10111,True,True,True
107083,C10111,True,True,True
107084,C10111,True,True,True
107085,C10111,True,True,True
107086,C10111,True,True,True
107087,C10111,True,True,True
107088,C10111,True,True,True
107089,C10097,True,True,True
107090,C10097,True,True,True
107091,C10041,True,True,True
107092,C10041,True,True,True
107093,C10041,True,True,True
107094,C10041,True,True,True
